,INDEX,Date,Id,Loc.x,Loc.y,Loc.z,Hostility,hit,Heart Rate,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,arm.roll,arm.pitch,arm.heading,Shot,body.heading,body.roll,body.pitch,head.heading,head.roll,head.pitch
10,405,2018-02-09 16:32:12.754,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
11,406,2018-02-09 16:32:12.967,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
12,407,2018-02-09 16:32:13.168,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
13,408,2018-02-09 16:32:13.373,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
14,409,2018-02-09 16:32:13.581,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
15,410,2018-02-09 16:32:13.790,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
16,411,2018-02-09 16:32:13.993,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
17,412,2018-02-09 16:32:14.199,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
18,413,2018-02-09 16:32:14.410,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
19,414,2018-02-09 16:32:14.616,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
20,415,2018-02-09 16:32:14.820,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
21,416,2018-02-09 16:32:15.034,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
22,417,2018-02-09 16:32:15.236,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
23,418,2018-02-09 16:32:15.440,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
24,44,2018-02-09 15:53:36.070,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
25,75,2018-02-09 16:07:25.618,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
26,76,2018-02-09 16:07:25.786,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
27,77,2018-02-09 16:07:26.016,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
28,78,2018-02-09 16:07:26.199,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
29,79,2018-02-09 16:07:26.430,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
30,80,2018-02-09 16:07:26.638,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
31,81,2018-02-09 16:07:26.846,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
32,82,2018-02-09 16:07:27.052,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
33,83,2018-02-09 16:07:27.260,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
34,84,2018-02-09 16:07:27.465,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
35,85,2018-02-09 16:07:27.676,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
36,86,2018-02-09 16:07:27.883,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
37,87,2018-02-09 16:07:28.087,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
38,88,2018-02-09 16:07:28.280,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
39,89,2018-02-09 16:07:28.489,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
40,90,2018-02-09 16:07:28.710,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
41,91,2018-02-09 16:07:28.918,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
42,92,2018-02-09 16:07:29.105,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
43,93,2018-02-09 16:07:29.329,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
44,94,2018-02-09 16:07:29.538,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
45,95,2018-02-09 16:07:29.745,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
46,96,2018-02-09 16:07:29.960,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
47,97,2018-02-09 16:07:30.163,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
48,120,2018-02-09 16:08:37.916,1,-99,-99,-99,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
49,121,2018-02-09 16:08:37.952,1,-99,-99,-99,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
50,122,2018-02-09 16:08:38.158,1,137,84,10,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
51,123,2018-02-09 16:08:38.374,1,138,83,10,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
52,124,2018-02-09 16:08:38.570,1,143,78,2,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
53,125,2018-02-09 16:08:38.788,1,139,82,5,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
54,126,2018-02-09 16:08:38.993,1,142,79,2,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
55,127,2018-02-09 16:08:39.195,1,145,78,-1,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
56,128,2018-02-09 16:08:39.404,1,149,75,-6,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
57,129,2018-02-09 16:08:39.608,1,147,77,-4,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
58,130,2018-02-09 16:08:39.809,1,135,86,11,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
59,131,2018-02-09 16:08:40.020,1,133,88,17,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
60,132,2018-02-09 16:08:40.220,1,138,84,11,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
61,133,2018-02-09 16:08:40.426,1,140,82,8,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
62,134,2018-02-09 16:08:40.634,1,141,81,6,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
63,135,2018-02-09 16:08:40.844,1,142,80,4,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
64,136,2018-02-09 16:08:41.056,1,144,80,5,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
65,137,2018-02-09 16:08:41.254,1,138,85,11,0,0,75,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
66,156,2018-02-09 16:09:29.409,1,-99,-99,-99,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
67,157,2018-02-09 16:09:29.563,1,135,89,24,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
68,158,2018-02-09 16:09:29.770,1,137,92,21,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
69,159,2018-02-09 16:09:29.971,1,135,90,20,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
70,160,2018-02-09 16:09:30.191,1,136,91,19,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
71,161,2018-02-09 16:09:30.405,1,134,89,18,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
72,162,2018-02-09 16:09:30.613,1,134,88,18,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
73,163,2018-02-09 16:09:30.816,1,134,88,19,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
74,164,2018-02-09 16:09:31.026,1,134,88,20,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
75,165,2018-02-09 16:09:31.223,1,134,88,20,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
76,166,2018-02-09 16:09:31.431,1,134,88,21,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
77,167,2018-02-09 16:09:31.644,1,133,87,20,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
78,168,2018-02-09 16:09:31.848,1,133,87,20,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
79,169,2018-02-09 16:09:32.055,1,134,88,20,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
80,170,2018-02-09 16:09:32.260,1,134,88,20,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
81,171,2018-02-09 16:09:32.454,1,133,86,19,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
82,172,2018-02-09 16:09:32.677,1,134,86,20,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
83,173,2018-02-09 16:09:32.883,1,134,87,21,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
84,174,2018-02-09 16:09:33.085,1,134,88,21,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
85,175,2018-02-09 16:09:33.289,1,135,90,21,0,0,82,1,2,3,4,5,6,7,-792,-99.0,-99.0,1.0,1,-99.0,-99.0,-99.0,1.0,1.0,1.0
86,188,2018-02-09 16:10:27.680,1,-99,-99,-99,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
87,189,2018-02-09 16:10:27.852,1,136,85,15,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5,11.4375
88,190,2018-02-09 16:10:28.070,1,136,86,15,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5,11.4375
89,191,2018-02-09 16:10:28.265,1,135,86,15,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
90,192,2018-02-09 16:10:28.481,1,136,87,14,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
91,193,2018-02-09 16:10:28.693,1,136,88,13,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
92,194,2018-02-09 16:10:28.898,1,136,88,17,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
93,195,2018-02-09 16:10:29.093,1,137,87,17,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
94,196,2018-02-09 16:10:29.309,1,136,87,18,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
95,197,2018-02-09 16:10:29.501,1,138,89,18,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
96,198,2018-02-09 16:10:29.724,1,136,86,15,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
97,199,2018-02-09 16:10:29.934,1,137,85,13,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
98,200,2018-02-09 16:10:30.132,1,137,84,11,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
99,201,2018-02-09 16:10:30.347,1,136,85,12,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
100,46,2018-02-09 16:02:29.756,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
101,47,2018-02-09 16:02:29.898,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
102,48,2018-02-09 16:02:30.098,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
103,49,2018-02-09 16:02:30.319,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
104,50,2018-02-09 16:02:30.510,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
105,51,2018-02-09 16:02:30.718,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
106,52,2018-02-09 16:02:30.945,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
107,53,2018-02-09 16:02:31.151,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
108,54,2018-02-09 16:02:31.359,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
109,55,2018-02-09 16:02:31.567,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
110,56,2018-02-09 16:02:31.757,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
111,57,2018-02-09 16:02:31.962,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
112,58,2018-02-09 16:02:32.191,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
113,59,2018-02-09 16:02:32.398,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
114,60,2018-02-09 16:02:32.608,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
115,61,2018-02-09 16:02:32.814,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
116,62,2018-02-09 16:02:33.023,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
117,63,2018-02-09 16:02:33.227,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
118,64,2018-02-09 16:02:33.438,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
119,65,2018-02-09 16:02:33.643,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
120,66,2018-02-09 16:02:33.850,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
121,67,2018-02-09 16:02:34.059,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
122,68,2018-02-09 16:02:34.265,1,1,1,1,1,1,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
123,70,2018-02-09 16:03:41.094,1,-99,-99,-99,0,0,83,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
124,71,2018-02-09 16:05:02.928,1,-99,-99,-99,0,0,67,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
125,72,2018-02-09 16:05:25.149,1,-99,-99,-99,0,0,84,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
126,73,2018-02-09 16:05:48.465,1,-99,-99,-99,0,0,65,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
127,74,2018-02-09 16:06:30.239,1,-99,-99,-99,0,0,68,1,2,3,4,5,6,7,11111111,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
128,202,2018-02-09 16:10:30.553,1,137,87,13,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
129,203,2018-02-09 16:10:30.754,1,136,87,14,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
130,204,2018-02-09 16:10:30.956,1,136,88,13,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
131,205,2018-02-09 16:10:31.167,1,136,88,12,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
132,206,2018-02-09 16:10:31.369,1,137,87,13,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
133,207,2018-02-09 16:10:31.581,1,135,84,14,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
134,208,2018-02-09 16:10:31.783,1,135,84,14,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
135,209,2018-02-09 16:10:31.988,1,136,87,14,0,0,64,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,201.0,0.5625,11.4375
136,210,2018-02-09 16:28:45.384,1,-99,-99,-99,0,0,1,1,2,3,4,5,6,7,-792,-99.0,-99.0,-99.0,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
137,43,2018-02-09 15:52:56.963,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
138,98,2018-02-09 16:07:59.702,1,1,1,1,1,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
139,99,2018-02-09 16:07:59.761,1,1,1,1,1,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
140,100,2018-02-09 16:07:59.976,1,1,1,1,1,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
141,101,2018-02-09 16:08:00.186,1,1,1,1,1,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
142,102,2018-02-09 16:08:00.395,1,1,1,1,1,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
143,103,2018-02-09 16:08:00.599,1,1,1,1,1,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
144,104,2018-02-09 16:08:00.813,1,1,1,1,1,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
145,105,2018-02-09 16:08:01.012,1,1,1,1,1,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
146,106,2018-02-09 16:08:01.230,1,1,1,1,1,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
147,107,2018-02-09 16:08:01.434,1,1,1,1,1,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
148,108,2018-02-09 16:08:01.632,1,1,1,1,1,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
