S_INDEX,S_DATE,S_SHOOTER.ID,S_SHOOTER.LOC.X,S_SHOOTER.LOC.Y,S_SHOOTER.LOC.Z,S_SHOOTER.HOSTILITY,S_SHOOTER.HIT,S_SHOOTER.HR,S_SHOOTER.ARM.EMG,S_SHOOTER.ARM.ROLL,S_SHOOTER.ARM.PITCH,S_SHOOTER.ARM.HEADING,S_SHOOTER.SHOT,S_SHOOTER.BODY.HEADING,S_SHOOTER.BODY.ROLL,S_SHOOTER.BODY.PITCH,S_SHOOTER.HEAD.HEADING,S_SHOOTER.HEAD.ROLL,S_SHOOTER.HEAD.PITCH
297,09-FEB-18 04.31.37.975000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
298,09-FEB-18 04.31.38.184000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
299,09-FEB-18 04.31.38.390000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
300,09-FEB-18 04.31.38.596000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
301,09-FEB-18 04.31.38.804000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
302,09-FEB-18 04.31.39.009000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
303,09-FEB-18 04.31.39.214000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
304,09-FEB-18 04.31.39.423000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
305,09-FEB-18 04.31.39.628000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
306,09-FEB-18 04.31.39.834000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
307,09-FEB-18 04.31.40.040000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
308,09-FEB-18 04.31.40.247000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
309,09-FEB-18 04.31.40.454000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
310,09-FEB-18 04.31.40.663000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
311,09-FEB-18 04.31.40.872000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
312,09-FEB-18 04.31.41.078000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
313,09-FEB-18 04.31.41.287000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
314,09-FEB-18 04.31.41.489000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
315,09-FEB-18 04.31.41.701000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
316,09-FEB-18 04.31.41.908000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
317,09-FEB-18 04.31.42.118000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
318,09-FEB-18 04.31.42.326000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
319,09-FEB-18 04.31.42.532000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
320,09-FEB-18 04.31.42.741000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
321,09-FEB-18 04.31.42.948000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
322,09-FEB-18 04.31.43.155000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
41,09-FEB-18 03.50.58.534000000 PM,1,1,1,1,1,1,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
42,09-FEB-18 03.52.01.559000000 PM,1,1,1,1,1,1,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
45,09-FEB-18 03.59.11.789000000 PM,1,0,0,0,0,0,64,SYSMAN.EMG_OBJ(0),0,0,0,0,0,0,0,0,0,0
69,09-FEB-18 04.03.01.629000000 PM,1,-99,-99,-99,0,0,63,SYSMAN.EMG_OBJ(-792),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
109,09-FEB-18 04.08.11.877000000 PM,1,1,1,1,0,0,74,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
110,09-FEB-18 04.08.11.980000000 PM,1,1,1,1,0,0,74,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
111,09-FEB-18 04.08.12.182000000 PM,1,1,1,1,0,0,74,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
112,09-FEB-18 04.08.12.391000000 PM,1,1,1,1,0,0,74,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
113,09-FEB-18 04.08.12.599000000 PM,1,1,1,1,0,0,74,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
114,09-FEB-18 04.08.12.802000000 PM,1,1,1,1,0,0,74,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
115,09-FEB-18 04.08.13.016000000 PM,1,1,1,1,0,0,74,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
116,09-FEB-18 04.08.13.220000000 PM,1,1,1,1,0,0,74,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
117,09-FEB-18 04.08.13.420000000 PM,1,1,1,1,0,0,74,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
118,09-FEB-18 04.08.13.629000000 PM,1,1,1,1,0,0,74,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
119,09-FEB-18 04.08.13.835000000 PM,1,1,1,1,0,0,74,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
228,09-FEB-18 04.29.03.043000000 PM,1,-99,-99,-99,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
229,09-FEB-18 04.29.03.113000000 PM,1,-99,-99,-99,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,-99,-99,-99
230,09-FEB-18 04.29.03.337000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
231,09-FEB-18 04.29.03.530000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
232,09-FEB-18 04.29.03.737000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
233,09-FEB-18 04.29.03.943000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
234,09-FEB-18 04.29.04.149000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
235,09-FEB-18 04.29.04.352000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
236,09-FEB-18 04.29.04.559000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
237,09-FEB-18 04.29.04.765000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
238,09-FEB-18 04.29.04.977000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
239,09-FEB-18 04.29.05.189000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
240,09-FEB-18 04.29.05.401000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
241,09-FEB-18 04.29.05.668000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
242,09-FEB-18 04.29.05.809000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
243,09-FEB-18 04.29.06.029000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
244,09-FEB-18 04.29.06.222000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
245,09-FEB-18 04.29.06.422000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
246,09-FEB-18 04.29.06.627000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
247,09-FEB-18 04.29.06.834000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
248,09-FEB-18 04.29.07.039000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
249,09-FEB-18 04.29.07.251000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
250,09-FEB-18 04.29.07.453000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
251,09-FEB-18 04.29.07.657000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
252,09-FEB-18 04.29.07.865000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
253,09-FEB-18 04.29.08.069000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
254,09-FEB-18 04.29.08.275000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
255,09-FEB-18 04.29.08.481000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
256,09-FEB-18 04.29.08.687000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
257,09-FEB-18 04.29.08.892000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
258,09-FEB-18 04.29.09.099000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
259,09-FEB-18 04.29.09.303000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
260,09-FEB-18 04.29.09.511000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
261,09-FEB-18 04.29.09.719000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
323,09-FEB-18 04.31.43.365000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
324,09-FEB-18 04.31.43.573000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
325,09-FEB-18 04.31.43.778000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
326,09-FEB-18 04.31.43.990000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
327,09-FEB-18 04.31.44.197000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
328,09-FEB-18 04.31.44.406000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
329,09-FEB-18 04.31.44.612000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
330,09-FEB-18 04.31.44.820000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
331,09-FEB-18 04.31.45.026000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
332,09-FEB-18 04.31.45.244000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
333,09-FEB-18 04.31.45.442000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
334,09-FEB-18 04.31.45.652000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
335,09-FEB-18 04.31.45.860000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
336,09-FEB-18 04.31.46.068000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
337,09-FEB-18 04.31.46.276000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
338,09-FEB-18 04.31.46.485000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
339,09-FEB-18 04.31.46.692000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
340,09-FEB-18 04.31.46.897000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
341,09-FEB-18 04.31.47.106000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
342,09-FEB-18 04.31.47.310000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
343,09-FEB-18 04.31.47.522000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
344,09-FEB-18 04.31.47.728000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
345,09-FEB-18 04.31.47.936000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
346,09-FEB-18 04.31.48.147000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
347,09-FEB-18 04.31.48.354000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
348,09-FEB-18 04.31.48.558000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
349,09-FEB-18 04.31.48.767000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
350,09-FEB-18 04.31.48.972000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
351,09-FEB-18 04.31.49.180000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
16,06-FEB-18 07.57.26.376000000 PM,1,1,1,1,1,1,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
17,06-FEB-18 07.57.54.908000000 PM,1,1,1,1,1,1,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
18,06-FEB-18 08.00.02.523000000 PM,1,1,1,1,1,1,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
19,06-FEB-18 08.01.27.212000000 PM,1,1,1,1,1,1,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
20,06-FEB-18 08.02.07.801000000 PM,1,1,1,1,1,1,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
23,06-FEB-18 08.09.39.566000000 PM,1,1,1,1,1,1,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
24,06-FEB-18 08.10.05.849000000 PM,1,1,1,1,1,1,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
25,06-FEB-18 08.10.32.143000000 PM,1,1,1,1,1,1,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
